LGAs_Shape,LGAs_ADM2_,LGAs_ADM21,LGAs_ADM_1,LGAs_ADM1_,LGAs_SD_EN,LGAs_area1,LGAs_are_1,partners_c,partners_1,partners_2,lat,long
1.19035743,Madagali,NG002010,Madagali,Adamawa,Adamawa North,860.8122872,860.8122872,Madagali,"CIVIC, DRC, eHealth Africa, HKI, IRC, JRS, PI",7,10.81124133,13.50231681
1.754502294,Maiha,NG002011,Maiha,Adamawa,Adamawa North,1397.187449,1397.187449,Maiha,"HKI, MSION, SC",3,9.85698131,13.16411053
1.774226233,Nangere,NG036012,Nangere,Yobe,Yobe South,1089.372612,1089.372612,Nangere,"ACF, AAN, MSION, MC, NI",5,11.82112898,10.97668655
2.306221857,Nganzai,NG008026,Nganzai,Borno,Borno North,2425.937327,2425.937327,Nganzai,"ACF, eHealth Africa,IMC",3,12.47410297,13.12782291
1.186747305,Nguru,NG036013,Nguru,Yobe,Yobe North,859.668848,859.668848,Nguru,"ACF, CARE, IRC, MSION, MC, NI, PI, SCI",8,12.96817822,10.39402184
1.508630916,Shani,NG008027,Shani,Borno,Borno South,1264.341176,1264.341176,Shani,"ACF, MSION, MC, WAN",4,10.18152293,11.97489573
1.58868146,Shelleng,NG002017,Shelleng,Adamawa,Adamawa South,1241.97869,1241.97869,Shelleng,"HKI, IRC, MSION",3,9.865442993,12.09977282
2.757056677,Song,NG002018,Song,Adamawa,Adamawa Central,4158.955101,4158.955101,Song,"HKI, MSION, MC, RDHI, SCI, WAN",6,9.823108256,12.61975101
3.360821572,Toungo,NG002019,Toungo,Adamawa,Adamawa South,5686.30679,5686.30679,Toungo,"HKI, MSION",2,7.968952414,11.82380063
3.111997469,Yunusari,NG036016,Yunusari,Yobe,Yobe East,4020.494573,4020.494573,Yunusari,"ACF, COOPI, IRC, MSION, MC, NI, PI",7,13.0971713,11.77782781
3.341553834,Yusufari,NG036017,Yusufari,Yobe,Yobe North,4075.069093,4075.069093,Yusufari,"ACF, CARE, NI, PI",4,13.17938609,10.89289422
