FID,Shape *,OBJECTID_1,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,State,LGAs,IDPs,Field4,ORIG_FID,lon,lat
36,Point,37,16,0,231,2.122051,Ganye,NG002003,Ganye,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2140.495557,2140.495557,0,0,0,2.122051,Adamawa,Ganye,642, ,36,12.00813,8.429339
37,Point,38,17,0,240,2.665208,Geidam,NG036006,Geidam,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4033.790036,4033.790036,0,0,0,2.665208,Yobe,Geidam,10681, ,37,12.100399,12.675931
38,Point,39,19,0,247,1.842475,Gombi,NG002004,Gombi,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,2232.99181,2232.99181,0,0,0,1.842475,Adamawa,Gombi,4044, ,38,12.493325,10.18574
39,Point,40,20,0,249,2.221293,Gubio,NG008009,Gubio,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2754.568198,2754.568198,0,0,0,2.221293,Borno,Gubio,8490, ,39,12.761694,12.664728
40,Point,41,22,0,252,2.193495,Gulani,NG036008,Gulani,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,2208.870797,2208.870797,0,0,0,2.193495,Yobe,Gulani,2216, ,40,11.677115,10.942414
41,Point,42,23,0,259,1.166444,Guyuk,NG002006,Guyuk,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,708.921667,708.921667,0,0,0,1.166444,Adamawa,Guyuk,5736, ,41,11.907682,9.839019
42,Point,43,24,0,260,2.400938,Guzamala,NG008010,Guzamala,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2645.917832,2645.917832,0,0,0,2.400938,Borno,Guzamala,0, ,42,13.228727,12.867912
43,Point,44,26,0,272,1.973643,Hawul,NG008012,Hawul,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,2081.020124,2081.020124,0,0,0,1.973643,Borno,Hawul,21476, ,43,12.270986,10.453754
44,Point,45,28,0,380,3.047352,Jada,NG002008,Jada,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2663.625156,2663.625156,0,0,0,3.047352,Adamawa,Jada,468, ,44,12.33619,8.701899
45,Point,46,29,0,382,2.689351,Jakusko,NG036009,Jakusko,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,3700.325542,3700.325542,0,0,0,2.689351,Yobe,Jakusko,2192, ,45,10.912652,12.441744
46,Point,47,33,0,413,2.093386,Karasuwa,NG036010,Karasuwa,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,1402.34499,1402.34499,0,0,0,2.093386,Yobe,Karasuwa,1132, ,46,10.774598,12.979236
47,Point,48,35,0,446,2.581646,Kukawa,NG008017,Kukawa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,5176.848414,5176.848414,0,0,0,2.581646,Borno,Kukawa,0, ,47,13.717538,13.046755
48,Point,49,36,0,457,1.119672,Kwaya Kusar,NG008018,Kwaya Kusar,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,772.557932,772.557932,0,0,0,1.119672,Borno,Kwaya Kusar,4868, ,48,11.885056,10.446826
49,Point,50,37,0,462,1.420854,Lamurde,NG002009,Lamurde,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1136.990574,1136.990574,0,0,0,1.420854,Adamawa,Lamurde,3816, ,49,11.706137,9.557771
50,Point,51,38,0,471,1.779161,Machina,NG036011,Machina,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,1348.145082,1348.145082,0,0,0,1.779161,Yobe,Machina,1359, ,50,10.020181,13.043806
51,Point,52,39,0,472,1.190357,Madagali,NG002010,Madagali,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,860.812287,860.812287,0,0,0,1.190357,Adamawa,Madagali,17958, ,51,13.502317,10.811241
52,Point,53,43,0,480,1.754502,Maiha,NG002011,Maiha,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,1397.187449,1397.187449,0,0,0,1.754502,Adamawa,Maiha,16710, ,52,13.164111,9.856981
53,Point,54,44,0,491,2.272926,Marte,NG008022,Marte,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,3100.39864,3100.39864,0,0,0,2.272926,Borno,Marte,0, ,53,13.844272,12.40572
54,Point,55,45,0,496,2.728931,Mayo-Belwa,NG002012,Mayo-Belwa,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2161.458616,2161.458616,0,0,0,2.728931,Adamawa,Mayo-Belwa,1319, ,54,11.967425,8.991923
55,Point,56,51,0,517,1.774226,Nangere,NG036012,Nangere,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,1089.372612,1089.372612,0,0,0,1.774226,Yobe,Nangere,1627, ,55,10.976687,11.821129
56,Point,57,53,0,525,2.306222,Nganzai,NG008026,Nganzai,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2425.937327,2425.937327,0,0,0,2.306222,Borno,Nganzai,0, ,56,13.127823,12.474103
57,Point,58,54,0,528,1.186747,Nguru,NG036013,Nguru,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,859.668848,859.668848,0,0,0,1.186747,Yobe,Nguru,6595, ,57,10.394022,12.968178
58,Point,59,57,0,673,1.508631,Shani,NG008027,Shani,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,1264.341176,1264.341176,0,0,0,1.508631,Borno,Shani,3277, ,58,11.974896,10.181523
59,Point,60,58,0,675,1.588681,Shelleng,NG002017,Shelleng,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1241.97869,1241.97869,0,0,0,1.588681,Adamawa,Shelleng,10470, ,59,12.099773,9.865443
60,Point,61,59,0,686,2.757057,Song,NG002018,Song,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,4158.955101,4158.955101,0,0,0,2.757057,Adamawa,Song,2402, ,60,12.619751,9.823108
61,Point,62,61,0,709,3.360822,Toungo,NG002019,Toungo,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,5686.30679,5686.30679,0,0,0,3.360822,Adamawa,Toungo,581, ,61,11.823801,7.968952
62,Point,63,64,0,765,3.111997,Yunusari,NG036016,Yunusari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4020.494573,4020.494573,0,0,0,3.111997,Yobe,Yunusari,2252, ,62,11.777828,13.097171
63,Point,64,65,0,766,3.341554,Yusufari,NG036017,Yusufari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,4075.069093,4075.069093,0,0,0,3.341554,Yobe,Yusufari,2018, ,63,10.892894,13.179386
64,Point,65,60,0,704,2.903186,Tarmua,NG036015,Tarmua,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4736.994317,4736.994317,0,0,0,2.903186, , ,0, ,64,11.811638,12.24119
