FID,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,Shape_Area,ADM1_PCO_1,ADM1_EN_1,District__,Flooded_Ar,Flooded_Cr,Total_in_D,Children__,Elderly___,lon,lat
31,29,0,382,2.689351,Jakusko,NG036009,Jakusko,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,3700.325542,3700.325542,0,0,0,2.689351,0.293465,NG036,Yobe,Jakusko,108877,23725,141961,5849,49179,10.912652,12.441744
32,33,0,413,2.093386,Karasuwa,NG036010,Karasuwa,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,1402.34499,1402.34499,0,0,0,2.093386,0.110979,NG036,Yobe,Karasuwa,3119,819,6681,293,2306,10.774598,12.979236
33,35,0,446,2.581646,Kukawa,NG008017,Kukawa,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,5176.848414,5176.848414,0,0,0,2.581646,0.409573,NG008,Borno,Kukawa,29704,0,8406,331,2899,13.717538,13.046755
34,37,0,462,1.420854,Lamurde,NG002009,Lamurde,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1136.990574,1136.990574,0,0,0,1.420854,0.091071,NG002,Adamawa,Lamurde,26139,5145,28822,1282,9424,11.706137,9.557771
35,39,0,472,1.190357,Madagali,NG002010,Madagali,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,860.812287,860.812287,0,0,0,1.190357,0.068676,NG002,Adamawa,Madagali,302,8,294,12,102,13.502317,10.811241
36,44,0,491,2.272926,Marte,NG008022,Marte,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,3100.39864,3100.39864,0,0,0,2.272926,0.245922,NG008,Borno,Marte,16990,5567,7913,372,2674,13.844272,12.40572
37,45,0,496,2.728931,Mayo-Belwa,NG002012,Mayo-Belwa,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2161.458616,2161.458616,0,0,0,2.728931,0.173412,NG002,Adamawa,Mayo-Belwa,1821,0,6440,405,1996,11.967425,8.991923
38,51,0,517,1.774226,Nangere,NG036012,Nangere,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,1089.372612,1089.372612,0,0,0,1.774226,0.0866,NG036,Yobe,Nangere,5398,1357,5782,240,2007,10.976687,11.821129
39,53,0,525,2.306222,Nganzai,NG008026,Nganzai,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2425.937327,2425.937327,0,0,0,2.306222,0.192372,NG008,Borno,Nganzai,586,19,976,40,332,13.127823,12.474103
40,54,0,528,1.186747,Nguru,NG036013,Nguru,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,859.668848,859.668848,0,0,0,1.186747,0.068036,NG036,Yobe,Nguru,2513,28,6382,275,2098,10.394022,12.968178
